health science,creative expression,technology,people,organization,influence,nature,things
3.916666667,4,4,4.1,3.6,4.40625,4.666666667,4.833333333
4.166666667,4,4,4.15,4.05,3.9375,3.833333333,3.791666667
4,3.821428571,4.3125,4.1,2.8,3.8125,4.166666667,3.333333333
3.833333333,4.428571429,4.5,3.85,4.5,4.34375,4.25,3.75
3.833333333,3.678571429,4,3.55,3.6,3.8125,3.75,3.541666667
4.5,3.535714286,4.3125,4.25,4.3,4.125,4.333333333,4.083333333
1.916666667,4.178571429,2.25,4.4,4.6,4.25,1.833333333,2.25
3.666666667,3.285714286,4,2.6,1.05,1.5,4.5,2.75
4.833333333,3.25,4.6875,4.7,4.1,4.71875,4.75,4.541666667
4,4.357142857,4,4.25,4,4.25,4.75,4.458333333
3.75,3.928571429,3.4375,3.35,3.9,3.59375,4,3.541666667
4.333333333,4.392857143,4.3125,4.4,4.45,4.34375,4.333333333,4.25
4.916666667,4.928571429,5,4.85,5,5,5,5
3.833333333,3.892857143,4,3.8,3.8,3.96875,3.833333333,3.833333333
2,2.25,3.375,2.15,2,2,3,3.125
2.333333333,2.25,2.3125,3.5,1,1.125,2.833333333,2.5
4.333333333,4.071428571,3.5625,4.7,3.15,4.34375,4,3.416666667
4.333333333,2.071428571,2.5625,3.95,3.5,2.65625,2.333333333,2.916666667
4.416666667,4.285714286,4.1875,4.3,4.55,4.25,4.083333333,4.291666667
1.166666667,2.321428571,2.4375,1.65,1.75,1.3125,3.416666667,2.291666667
5,4.928571429,4.0625,4.9,4.8,4.84375,4.916666667,4.541666667
2.916666667,4.428571429,4.3125,3.65,2.95,3.15625,3.083333333,3.5
2.75,3.178571429,2.5625,2.65,2.95,2.9375,2.75,3.125
1,1.75,2.75,1.9,1.8,2,3.666666667,3.416666667
1.916666667,3.964285714,1.75,2.75,1.15,1.84375,2.916666667,1.541666667
3.416666667,3.285714286,3.9375,3.3,3.35,3.21875,3.083333333,3.416666667
4.083333333,2.035714286,2.625,4.1,2.4,2,4.416666667,1.875
1.083333333,2.714285714,1,2.5,1,1.03125,2.416666667,1.333333333
1.833333333,2.964285714,1.75,3,3,2.09375,3.916666667,2.125
4.583333333,4.142857143,4.25,4.55,4.25,4.375,4.5,4.291666667
4.166666667,4.321428571,4.3125,4.35,4.2,4.34375,3.916666667,4.208333333
2.583333333,2.571428571,3.5625,2.9,1.6,3.09375,4.083333333,3.291666667
2.416666667,2.785714286,3.9375,3.35,4,3.59375,3.5,3.708333333
3.583333333,2.678571429,1.875,3.35,3.3,2.3125,3.166666667,2.791666667
4.416666667,3.392857143,2.5625,4.3,2.45,3.5625,3.75,2.583333333
4.166666667,2,1,3.2,1.3,1,1.166666667,1
1,1.321428571,1,4.6,2.55,2.1875,3.333333333,1
3,2.392857143,1.4375,2.9,2.2,1.125,2.583333333,1.5
4.833333333,2.678571429,2.5,3.75,2.2,1.5,3.75,2
3.166666667,4.535714286,1.3125,4.4,3.1,3.875,3.916666667,2.333333333
4.583333333,1.75,1.25,3.3,3.6,3.0625,4.583333333,1.75
4.333333333,1.892857143,2.875,2.2,2.75,2.71875,4.333333333,2.625
3.833333333,3.071428571,3,3.55,2.95,2.625,3.75,2.833333333
4.083333333,3.785714286,2.375,2.65,1.65,1.65625,4.583333333,1.625
3.833333333,3.535714286,3.3125,3.85,4,3.03125,4.083333333,3.041666667
1.583333333,1.785714286,1.0625,1.3,1,1.03125,3.166666667,1
4.416666667,3.464285714,1.25,2.85,2.25,1.78125,4.083333333,2.875
2.25,2,1.875,2.9,3.4,1.65625,1.75,2.666666667
2.416666667,3,1.9375,2.65,2.25,1.875,2.75,2.375
4,3.642857143,1.3125,3.5,3.4,2.5625,4.666666667,2.791666667
4.75,4.285714286,2,3.55,2.6,1.875,5,1.666666667
4.916666667,2.035714286,2.5625,3.3,3.1,1.78125,1.833333333,1.833333333
4.5,3.678571429,2.125,3.9,3.4,3.84375,4.833333333,3.375
4.916666667,3.571428571,3.9375,4,3.8,4.03125,3.75,2.958333333
4.25,2.857142857,1.875,2.55,2.1,2.46875,4.166666667,1.375
3.666666667,1.857142857,1.875,2.4,1.75,1.78125,1.916666667,1.5
3.333333333,3.892857143,1.25,3.85,2.15,1.9375,2.666666667,1.833333333
3.333333333,3.071428571,3.5,3,3,2.90625,3,3.375
4,2.714285714,2.5,3.95,3.6,2.5625,4,3.083333333
4.916666667,4.392857143,3.625,4.1,3.15,2.78125,4.25,2.291666667
3.916666667,4.428571429,2,4.15,1.35,2.03125,4.916666667,3
5,3.714285714,1.875,3.75,2.65,2.46875,3.916666667,2.041666667
4.416666667,4.964285714,3.3125,4.15,3.85,3.3125,2.083333333,3.375
4.25,3.964285714,3.625,3.35,3.15,2.28125,4.5,3.375
4.333333333,2.107142857,1.0625,2.65,2.3,1.84375,2.083333333,2.083333333
3.166666667,2.178571429,1.8125,2.55,2.6,2.25,2.416666667,2.083333333
4.333333333,3.428571429,1.25,2.7,1.75,1.6875,3.833333333,1.666666667
4.166666667,3.642857143,2,4.7,3.1,2.375,4.916666667,2.458333333
1.916666667,1.821428571,1.125,1.8,1.05,1.1875,3.583333333,1.708333333
3.666666667,3.821428571,2.125,3.95,3.85,3.90625,2.833333333,2.083333333
4.583333333,4.892857143,2.8125,4.75,3.75,3.71875,4.75,2.958333333
5,3.5,2.1875,3.6,3.35,2.5625,5,2.416666667
4.416666667,4.571428571,4.0625,4.55,4.35,4.28125,4.5,3.875
4.5,3.464285714,3.5,3.95,4.75,3.59375,4.833333333,3.875
3.583333333,3.392857143,2.6875,3.65,3.15,1.75,3.833333333,2.333333333
4.416666667,4.285714286,2.75,4.15,3.35,2.0625,4.333333333,2.583333333
3.333333333,2.178571429,2.5,1.6,1.6,1.375,1.5,1.25
2.666666667,1.142857143,1.5,2,3,1.46875,2.583333333,1.833333333
4.5,3.642857143,3.0625,3.65,2.55,2.5,3.25,2.958333333
4.5,4.392857143,4.375,3.8,3.5,4.40625,5,4.083333333
4.166666667,1.428571429,1.0625,3.45,2.35,1.71875,2.333333333,1.416666667
4.5,3,2.75,4.35,4,3.90625,4.333333333,3.541666667
2.333333333,2.571428571,1.6875,3.85,4.55,2.875,2.416666667,2.083333333
4.416666667,2.214285714,2.25,3.8,3.3,2.15625,3,1.75
4,2.607142857,2.1875,2.8,2.2,1.84375,4.166666667,2.541666667
1,1.857142857,1,2.65,1.45,1.0625,1,1.916666667
5,3.392857143,2.1875,3.6,3,3.21875,3.666666667,2.125
3.083333333,3.285714286,2.125,3.2,2.7,2.65625,2.916666667,1.833333333
3.083333333,2.928571429,2,3.85,4.1,1.625,1.5,1.291666667
5,2.607142857,2.6875,3.45,3.7,2.71875,4.666666667,2.333333333
3.416666667,1.928571429,1.5,3.1,3.55,2.1875,2.833333333,2.166666667
4.333333333,2.357142857,1.6875,3.35,2.65,2.03125,2.833333333,2.5
3.75,3.857142857,1.25,4.1,1.85,2.125,3,2.708333333
